id,provider_id,name,era,seasons,regular_games,regular_ppg,regular_rpg,regular_apg,regular_spg,regular_bpg,regular_fg_pct,regular_three_pct,regular_ft_pct,playoff_games,playoff_ppg,playoff_rpg,playoff_apg,playoff_spg,playoff_bpg,playoff_fg_pct,playoff_three_pct,playoff_ft_pct,mvp,all_nba,dpoy,championships,finals_mvp,award_source,record_source,image_license
abdul-jabbar-kareem,76003,Kareem Abdul-Jabbar,1970s,20,1560,24.6,11.2,3.6,,,55.9,5.6,72.1,237,24.3,10.5,3.2,,,53.3,0.0,74.0,6,15,0,6,2,https://www.nba.com/stats/player/76003/awards,https://www.nba.com/stats/player/76003/traditional?PerMode=Totals,NBA.com CDN public-source development import.
allen-ray,951,Ray Allen,2000s,18,1300,18.9,4.1,3.4,1.1,0.2,45.2,40.0,89.4,171,16.1,3.8,2.6,1.0,0.2,44.3,40.1,88.3,0,2,0,2,0,https://www.nba.com/stats/player/951/awards,https://www.nba.com/stats/player/951/traditional?PerMode=Totals,NBA.com CDN public-source development import.
antetokounmpo-giannis,203507,Giannis Antetokounmpo,2010s,13,895,24.1,9.9,5.0,1.1,1.2,55.4,28.5,69.1,84,27.0,12.2,5.3,1.0,1.3,53.2,25.9,62.5,2,9,1,1,1,https://www.nba.com/stats/player/203507/awards,https://www.nba.com/stats/player/203507/traditional?PerMode=Totals,NBA.com CDN public-source development import.
anthony-carmelo,2546,Carmelo Anthony,2010s,19,1260,22.5,6.2,2.7,1.0,0.5,44.7,35.5,81.4,83,23.1,6.7,2.5,1.2,0.3,41.4,32.4,82.6,0,6,0,0,0,https://www.nba.com/stats/player/2546/awards,https://www.nba.com/stats/player/2546/traditional?PerMode=Totals,NBA.com CDN public-source development import.
archibald-nate,76054,Nate Archibald,1970s,13,876,18.8,2.3,7.4,,,46.7,22.4,81.0,47,14.2,1.6,6.5,,,42.3,11.8,82.6,0,5,0,1,0,https://www.nba.com/stats/player/76054/awards,https://www.nba.com/stats/player/76054/traditional?PerMode=Totals,NBA.com CDN public-source development import.
arizin-paul,76056,Paul Arizin,1950s,10,713,22.8,8.6,2.3,,,42.1,,81.0,49,24.2,8.2,2.6,,,41.1,,82.9,0,4,,1,,https://www.nba.com/stats/player/76056/awards,https://www.nba.com/stats/player/76056/traditional?PerMode=Totals,NBA.com CDN public-source development import.
barkley-charles,787,Charles Barkley,1990s,16,1073,22.1,11.7,3.9,1.5,0.8,54.1,26.6,73.5,123,23.0,12.9,3.9,1.6,0.9,51.3,25.5,71.7,1,11,0,0,0,https://www.nba.com/stats/player/787/awards,https://www.nba.com/stats/player/787/traditional?PerMode=Totals,NBA.com CDN public-source development import.
barry-rick,600013,Rick Barry,1970s,10,794,23.2,6.5,5.1,,,44.9,33.0,90.0,74,24.8,5.6,4.6,,,42.6,25.0,87.5,0,6,,1,1,https://www.nba.com/stats/player/600013/awards,https://www.nba.com/stats/player/600013/traditional?PerMode=Totals,NBA.com CDN public-source development import.
baylor-elgin,76127,Elgin Baylor,1960s,14,846,27.4,13.5,4.3,,,43.1,,78.0,134,27.0,12.9,4.0,,,43.9,,77.1,0,10,,0,0,https://www.nba.com/stats/player/76127/awards,https://www.nba.com/stats/player/76127/traditional?PerMode=Totals,NBA.com CDN public-source development import.
bing-dave,76166,Dave Bing,1970s,12,901,20.3,3.8,6.0,,,44.1,,77.5,31,15.4,2.7,4.3,,,42.3,,74.8,0,3,,0,0,https://www.nba.com/stats/player/76166/awards,https://www.nba.com/stats/player/76166/traditional?PerMode=Totals,NBA.com CDN public-source development import.
bird-larry,1449,Larry Bird,1980s,13,897,24.3,10.0,6.3,1.7,0.8,49.6,37.6,88.6,164,23.8,10.3,6.5,1.8,0.9,47.2,32.1,89.0,3,10,0,3,2,https://www.nba.com/stats/player/1449/awards,https://www.nba.com/stats/player/1449/traditional?PerMode=Totals,NBA.com CDN public-source development import.
bryant-kobe,977,Kobe Bryant,2000s,20,1346,25.0,5.2,4.7,1.4,0.5,44.7,32.9,83.7,220,25.6,5.1,4.7,1.4,0.7,44.8,33.1,81.6,1,15,0,5,2,https://www.nba.com/stats/player/977/awards,https://www.nba.com/stats/player/977/traditional?PerMode=Totals,NBA.com CDN public-source development import.
chamberlain-wilt,76375,Wilt Chamberlain,1960s,14,1045,30.1,22.9,4.4,,,54.0,,51.1,160,22.5,24.5,4.2,,,52.2,,46.5,4,10,,2,1,https://www.nba.com/stats/player/76375/awards,https://www.nba.com/stats/player/76375/traditional?PerMode=Totals,NBA.com CDN public-source development import.
cousy-bob,600003,Bob Cousy,1950s,14,924,18.4,5.2,7.5,,,37.5,,80.3,109,18.5,5.0,8.6,,,34.2,,80.1,1,12,,6,0,https://www.nba.com/stats/player/600003/awards,https://www.nba.com/stats/player/600003/traditional?PerMode=Totals,NBA.com CDN public-source development import.
cowens-dave,76462,Dave Cowens,1970s,11,766,17.6,13.6,3.8,,,46.0,7.1,78.3,89,18.9,14.4,3.7,,,45.1,0.0,74.4,1,3,0,2,0,https://www.nba.com/stats/player/76462/awards,https://www.nba.com/stats/player/76462/traditional?PerMode=Totals,NBA.com CDN public-source development import.
cunningham-billy,76487,Billy Cunningham,1960s,9,654,20.8,10.1,4.0,,,44.6,,72.0,39,19.4,9.1,3.2,,,42.7,,68.6,0,4,,1,0,https://www.nba.com/stats/player/76487/awards,https://www.nba.com/stats/player/76487/traditional?PerMode=Totals,NBA.com CDN public-source development import.
curry-stephen,201939,Stephen Curry,2010s,17,1069,24.8,4.7,6.3,1.5,0.3,47.1,42.2,91.2,155,26.8,5.3,6.1,1.5,0.3,45.4,39.7,88.9,2,11,0,4,1,https://www.nba.com/stats/player/201939/awards,https://www.nba.com/stats/player/201939/traditional?PerMode=Totals,NBA.com CDN public-source development import.
davis-anthony,203076,Anthony Davis,2010s,14,807,24.0,10.7,2.6,1.3,2.3,52.2,29.5,79.3,60,26.1,11.8,2.8,1.3,2.1,54.2,31.3,84.0,0,5,0,1,0,https://www.nba.com/stats/player/203076/awards,https://www.nba.com/stats/player/203076/traditional?PerMode=Totals,NBA.com CDN public-source development import.
debusschere-dave,76545,Dave DeBusschere,1960s,12,875,16.1,11.0,2.9,,,43.2,,69.9,96,16.0,12.0,2.6,,,41.6,,69.8,0,1,,2,0,https://www.nba.com/stats/player/76545/awards,https://www.nba.com/stats/player/76545/traditional?PerMode=Totals,NBA.com CDN public-source development import.
drexler-clyde,17,Clyde Drexler,1980s,15,1086,20.4,6.1,5.6,2.0,0.7,47.2,31.8,78.8,145,20.4,6.9,6.1,1.9,0.7,44.7,28.8,78.7,0,5,0,1,0,https://www.nba.com/stats/player/17/awards,https://www.nba.com/stats/player/17/traditional?PerMode=Totals,NBA.com CDN public-source development import.
duncan-tim,1495,Tim Duncan,2000s,19,1392,19.0,10.8,3.0,0.7,2.2,50.6,17.9,69.6,251,20.6,11.4,3.0,0.7,2.3,50.1,14.3,68.9,2,15,0,5,3,https://www.nba.com/stats/player/1495/awards,https://www.nba.com/stats/player/1495/traditional?PerMode=Totals,NBA.com CDN public-source development import.
durant-kevin,201142,Kevin Durant,2010s,18,1201,27.1,6.9,4.4,1.0,1.1,50.3,39.2,88.2,171,29.3,7.8,4.2,1.0,1.2,47.8,35.5,86.8,1,12,0,2,2,https://www.nba.com/stats/player/201142/awards,https://www.nba.com/stats/player/201142/traditional?PerMode=Totals,NBA.com CDN public-source development import.
erving-julius,76681,Julius Erving,1980s,11,836,22.0,6.7,3.9,1.8,1.5,50.7,26.1,77.7,141,21.9,7.0,4.2,1.7,1.7,48.6,19.4,77.9,1,7,0,1,0,https://www.nba.com/stats/player/76681/awards,https://www.nba.com/stats/player/76681/traditional?PerMode=Totals,NBA.com CDN public-source development import.
ewing-patrick,201607,Patrick Ewing,2010s,1,7,0.4,0.3,0.3,0.0,0.1,0.0,0.0,75.0,2,1.5,0.0,0.0,0.0,0.0,100.0,100.0,,0,0,0,0,0,https://www.nba.com/stats/player/201607/awards,https://www.nba.com/stats/player/201607/traditional?PerMode=Totals,Wikimedia Commons CC BY-SA 3.0; Seidenstud; cropped from the original; https://commons.wikimedia.org/wiki/File:Patrick_Ewing_ca._1995_cropped.jpg
frazier-walt,76750,Walt Frazier,1970s,13,825,18.9,5.9,6.1,,,49.0,0.0,78.6,93,20.7,7.2,6.4,,,51.1,,75.1,0,6,,2,0,https://www.nba.com/stats/player/76750/awards,https://www.nba.com/stats/player/76750/traditional?PerMode=Totals,NBA.com CDN public-source development import.
garnett-kevin,708,Kevin Garnett,2000s,21,1462,17.8,10.0,3.7,1.3,1.4,49.7,27.5,78.9,143,18.2,10.7,3.3,1.2,1.3,47.8,27.3,78.9,1,9,1,1,0,https://www.nba.com/stats/player/708/awards,https://www.nba.com/stats/player/708/traditional?PerMode=Totals,NBA.com CDN public-source development import.
gervin-george,76804,George Gervin,1980s,10,791,26.2,4.6,2.8,1.2,0.8,51.1,29.7,84.4,59,27.0,5.8,3.2,1.2,0.9,50.8,0.0,82.1,0,7,0,0,0,https://www.nba.com/stats/player/76804/awards,https://www.nba.com/stats/player/76804/traditional?PerMode=Totals,NBA.com CDN public-source development import.
greer-hal,76882,Hal Greer,1960s,15,1122,19.2,5.0,4.0,,,45.2,,80.1,92,20.4,5.5,4.3,,,42.5,,81.2,0,7,,1,0,https://www.nba.com/stats/player/76882/awards,https://www.nba.com/stats/player/76882/traditional?PerMode=Totals,NBA.com CDN public-source development import.
harden-james,201935,James Harden,2010s,17,1221,24.0,5.6,7.3,1.5,0.6,43.9,36.4,86.3,191,22.2,5.4,6.4,1.6,0.6,42.4,33.7,86.6,1,8,0,0,0,https://www.nba.com/stats/player/201935/awards,https://www.nba.com/stats/player/201935/traditional?PerMode=Totals,NBA.com CDN public-source development import.
havlicek-john,76970,John Havlicek,1970s,16,1270,20.8,6.3,4.8,,,43.9,,81.5,172,22.0,6.9,4.8,,,43.6,,83.6,0,11,,8,1,https://www.nba.com/stats/player/76970/awards,https://www.nba.com/stats/player/76970/traditional?PerMode=Totals,NBA.com CDN public-source development import.
hayes-elvin,76979,Elvin Hayes,1970s,16,1303,21.0,12.5,1.8,,,45.2,14.7,67.0,96,22.9,13.0,1.9,,,46.4,,65.2,0,6,0,1,0,https://www.nba.com/stats/player/76979/awards,https://www.nba.com/stats/player/76979/traditional?PerMode=Totals,NBA.com CDN public-source development import.
james-lebron,2544,LeBron James,2010s,23,1622,26.8,7.5,7.4,1.5,0.7,50.7,34.8,73.7,302,28.2,8.9,7.2,1.7,1.0,49.5,33.2,74.1,4,21,0,4,4,https://www.nba.com/stats/player/2544/awards,https://www.nba.com/stats/player/2544/traditional?PerMode=Totals,NBA.com CDN public-source development import.
johnson-magic,77142,Magic Johnson,1980s,13,906,19.5,7.2,11.2,1.9,0.4,52.0,30.3,84.8,190,19.5,7.7,12.3,1.9,0.3,50.6,24.1,83.8,3,10,0,5,3,https://www.nba.com/stats/player/77142/awards,https://www.nba.com/stats/player/77142/traditional?PerMode=Totals,NBA.com CDN public-source development import.
jones-sam,77196,Sam Jones,1960s,12,871,17.7,4.9,2.5,,,45.6,,80.3,154,18.9,4.7,2.3,,,44.7,,81.1,0,3,,10,0,https://www.nba.com/stats/player/77196/awards,https://www.nba.com/stats/player/77196/traditional?PerMode=Totals,NBA.com CDN public-source development import.
jordan-michael,893,Michael Jordan,1990s,15,1072,30.1,6.2,5.3,2.3,0.8,49.7,32.7,83.5,179,33.4,6.4,5.7,2.1,0.9,48.7,33.2,82.8,5,11,1,6,6,https://www.nba.com/stats/player/893/awards,https://www.nba.com/stats/player/893/traditional?PerMode=Totals,NBA.com CDN public-source development import.
kidd-jason,467,Jason Kidd,2000s,19,1391,12.6,6.3,8.7,1.9,0.3,40.0,34.9,78.5,158,12.9,6.7,8.0,1.9,0.3,39.1,32.2,78.1,0,6,0,1,0,https://www.nba.com/stats/player/467/awards,https://www.nba.com/stats/player/467/traditional?PerMode=Totals,Wikimedia Commons public domain; Mwinog2777; https://commons.wikimedia.org/wiki/File:Jasonk1.jpg
iverson-allen,947,Allen Iverson,2000s,14,914,26.7,3.7,6.2,2.2,0.2,42.5,31.3,78.0,71,29.7,3.8,6.0,2.1,0.2,40.1,32.7,76.4,1,7,0,0,0,https://www.nba.com/stats/player/947/awards,https://www.nba.com/stats/player/947/traditional?PerMode=Totals,NBA.com CDN public-source development import.
leonard-kawhi,202695,Kawhi Leonard,2010s,14,798,20.7,6.4,3.1,1.7,0.6,49.9,39.1,86.3,146,21.5,7.8,3.0,1.8,0.7,51.3,39.9,84.1,0,7,2,2,2,https://www.nba.com/stats/player/202695/awards,https://www.nba.com/stats/player/202695/traditional?PerMode=Totals,NBA.com CDN public-source development import.
